product_id,3D Object filename,Visual Fidelity,product_name,manufacturer,category_l1,category_l2,category_l3,output_glb_relpath,variant
188368,188368__hunyuan3d_v2p1_single_N1_a_2025-08-17_v1_h00d888f7.glb,0.95,GINEVRA,S-CAB,Outdoor,Arredo Giardino,Sedie da giardino,runs\2025-08-17_v1\outputs\hunyuan3d_v2p1_single\188368__hunyuan3d_v2p1_single_N1_a_2025-08-17_v1_h00d888f7.glb,
188368,188368__hunyuan3d_v2p1_single_N1_a_2025-08-17_v1_h9ee9037e.glb,0.95,GINEVRA,S-CAB,Outdoor,Arredo Giardino,Sedie da giardino,runs\2025-08-17_v1\outputs\hunyuan3d_v2p1_single\188368__hunyuan3d_v2p1_single_N1_a_2025-08-17_v1_h00d888f7.glb,
599336,599336__rodin_multi_N2_A-B_2025-08-17_v1_hfc824890.glb,0.9,HUG,S-CAB,Outdoor,Arredo giardino,Sedie da giardino,runs\2025-08-17_v1\outputs\tripo3d_v2p5_multi\599336__tripo3d_v2p5_multi_N2_A-B_2025-08-17_v1_h7814f061.glb,
558736,558736__hunyuan3d_v2p1_single_N1_a_2025-08-17_v1_h56682002.glb,0.75,7.1,EMKO,Arredo,Tavoli e Sedie,Sedie,runs\2025-08-17_v1\outputs\trellis_single\558736__trellis_single_N1_a_2025-08-17_v1_h14a53b17.glb,
389010,389010__tripo3d_v2p5_multi_N2_A-B_2025-08-17_v1_h515109ae.glb,0.95,LADY B POP,S-CAB,Arredo,Tavoli e Sedie,Sedie,runs\2025-08-17_v1\outputs\tripo3d_v2p5_multi\389010__tripo3d_v2p5_multi_N2_A-B_2025-08-17_v1_h515109ae.glb,
335888,335888_curved-backrest_tripo3d_v2p5_multi_N3_A-B-C_2025-08-17_v1_h8a61ab22.glb,0.925,LISA WOOD,S-CAB,Arredo,Tavoli e Sedie,Sedie,runs\2025-08-17_v1\outputs\tripo3d_v2p5_multi\335888_curved-backrest_tripo3d_v2p5_multi_N3_A-B-C_2025-08-17_v1_h8a61ab22.glb,Curved backrest
369578,369578_curved-backrest_rodin_multi_N2_A-B_2025-08-17_v1_h25fd3e46.glb,0.825,LISA WATERPROOF,S-CAB,Outdoor,Arredo Giardino,Sgabelli da giardino,runs\2025-08-17_v1\outputs\tripo3d_v2p5_multi\369578_curved-backrest_tripo3d_v2p5_multi_N2_A-B_2025-08-17_v1_h6c95905d.glb,Curved backrest
369578,369578__trellis_multi_multidiffusion_N2_A-B_2025-08-17_v1_ha1adfa5a.glb,0.8,LISA WATERPROOF,S-CAB,Outdoor,Arredo Giardino,Sgabelli da giardino,runs\2025-08-17_v1\outputs\tripo3d_v2p5_multi\369578_curved-backrest_tripo3d_v2p5_multi_N2_A-B_2025-08-17_v1_h6c95905d.glb,Curved backrest
451898,451898_75-cm_hunyuan3d_v2p1_single_N1_a_2025-08-17_v1_h06883e07.glb,0.8,LISA WATERPROOF,S-CAB,Outdoor,Arredo Giardino,Sgabelli da giardino,runs\2025-08-17_v1\outputs\hunyuan3d_v2p1_single\451898_75-cm_hunyuan3d_v2p1_single_N1_a_2025-08-17_v1_h06883e07.glb,75 cm
