product_id,3D Object filename,Visual Fidelity,product_name,manufacturer,category_l1,category_l2,category_l3,output_glb_relpath,variant
353489,353489__rodin_multi_N3_A-B-C_2025-08-17_v1_h10f792a6.glb,0.8,LX965,LEOLUX LX,Arredo,Divani e poltrone,Poltrone,runs\2025-08-17_v1\outputs\tripo3d_v2p5_multi\353489__tripo3d_v2p5_multi_N3_A-B-C_2025-08-17_v1_ha967a257.glb,
389138,389138__hunyuan3d_v2_single_N1_a_2025-08-17_v1_h9dfdfca7.glb,0.875,LISA LOUNGE,S-CAB,Arredo,Divani e poltrone,Poltrone,runs\2025-08-17_v1\outputs\hunyuan3d_v2p1_single\389138__hunyuan3d_v2p1_single_N1_a_2025-08-17_v1_h08427454.glb,
645896,645896__rodin_multi_N5_A-B-C-D-E_2025-08-17_v1_h29dfc6b7.glb,0.85,ALCHEMIST,EMKO,Arredo,Divani e poltrone,Poltrone,runs\2025-08-17_v1\outputs\tripo3d_v2p5_multi\645896__tripo3d_v2p5_multi_N4_A-B-C-D_2025-08-17_v1_h8166ad7d.glb,
389010,389010__tripo3d_v2p5_multi_N2_A-B_2025-08-17_v1_h515109ae.glb,0.95,LADY B POP,S-CAB,Arredo,Tavoli e Sedie,Sedie,runs\2025-08-17_v1\outputs\tripo3d_v2p5_multi\389010__tripo3d_v2p5_multi_N2_A-B_2025-08-17_v1_h515109ae.glb,
558736,558736__hunyuan3d_v2p1_single_N1_a_2025-08-17_v1_h56682002.glb,0.75,7.1,EMKO,Arredo,Tavoli e Sedie,Sedie,runs\2025-08-17_v1\outputs\trellis_single\558736__trellis_single_N1_a_2025-08-17_v1_h14a53b17.glb,
335888,335888_curved-backrest_tripo3d_v2p5_multi_N3_A-B-C_2025-08-17_v1_h8a61ab22.glb,0.925,LISA WOOD,S-CAB,Arredo,Tavoli e Sedie,Sedie,runs\2025-08-17_v1\outputs\tripo3d_v2p5_multi\335888_curved-backrest_tripo3d_v2p5_multi_N3_A-B-C_2025-08-17_v1_h8a61ab22.glb,Curved backrest
188368,188368__hunyuan3d_v2p1_single_N1_a_2025-08-17_v1_h00d888f7.glb,0.95,GINEVRA,S-CAB,Outdoor,Arredo Giardino,Sedie da giardino,runs\2025-08-17_v1\outputs\hunyuan3d_v2p1_single\188368__hunyuan3d_v2p1_single_N1_a_2025-08-17_v1_h00d888f7.glb,
188368,188368__hunyuan3d_v2p1_single_N1_a_2025-08-17_v1_h9ee9037e.glb,0.95,GINEVRA,S-CAB,Outdoor,Arredo Giardino,Sedie da giardino,runs\2025-08-17_v1\outputs\hunyuan3d_v2p1_single\188368__hunyuan3d_v2p1_single_N1_a_2025-08-17_v1_h00d888f7.glb,
599336,599336__rodin_multi_N2_A-B_2025-08-17_v1_hfc824890.glb,0.9,HUG,S-CAB,Outdoor,Arredo giardino,Sedie da giardino,runs\2025-08-17_v1\outputs\tripo3d_v2p5_multi\599336__tripo3d_v2p5_multi_N2_A-B_2025-08-17_v1_h7814f061.glb,
